,WD17CD,comparison_Number_of_charities
847,E05003216,21
848,E05003217,10
849,E05003218,7
850,E05003219,16
851,E05003220,5
852,E05003221,12
853,E05003222,12
854,E05003223,6
855,E05003224,4
856,E05003225,12
857,E05003226,14
858,E05003227,1
859,E05003228,3
860,E05003229,9
861,E05003230,14
862,E05003231,10
863,E05003232,7
864,E05003233,22
865,E05003234,15
866,E05003235,25
867,E05003237,23
868,E05003240,15
869,E05003241,18
870,E05003243,11
871,E05003244,15
872,E05003245,32
873,E05003246,12
874,E05003262,10
875,E05003263,10
876,E05003264,22
877,E05003266,32
878,E05003267,25
879,E05003269,3
880,E05003270,4
881,E05003271,11
882,E05003272,3
883,E05003273,6
884,E05003274,16
885,E05003275,1
886,E05003276,20
887,E05003277,8
888,E05003278,20
889,E05003279,8
890,E05003280,9
891,E05003281,9
892,E05003282,15
893,E05003283,17
894,E05003284,17
895,E05003286,1
896,E05003289,8
897,E05003290,5
898,E05003292,8
899,E05003293,10
900,E05003295,6
901,E05003299,7
902,E05003300,6
903,E05003301,15
904,E05003302,9
905,E05003304,8
906,E05003311,3
907,E05003312,3
908,E05003313,2
909,E05003314,1
910,E05003315,1
911,E05003317,1
912,E05003319,6
913,E05003320,7
914,E05003321,7
915,E05003344,26
916,E05003345,4
917,E05003349,11
918,E05003352,11
919,E05003354,12
920,E05003357,8
921,E05003358,9
922,E05003362,1
923,E05003364,11
924,E05003365,2
925,E05003434,3
926,E05003437,12
927,E05003459,10
928,E05003460,19
929,E05003461,10
930,E05003462,6
931,E05003465,28
932,E05003466,13
933,E05003475,13
934,E05003476,22
935,E05003477,5
936,E05003478,20
937,E05003480,24
938,E05003481,6
939,E05003482,21
940,E05003483,22
941,E05003484,16
942,E05003485,30
943,E05003486,13
944,E05003487,6
945,E05003490,16
946,E05003511,8
947,E05003512,20
948,E05003513,14
949,E05003514,24
950,E05003515,16
951,E05003516,15
952,E05003517,9
953,E05003518,6
954,E05003519,14
955,E05003520,25
956,E05003521,18
957,E05003522,28
958,E05003524,22
959,E05003526,11
960,E05003527,12
961,E05003528,17
962,E05003529,11
963,E05003530,21
964,E05003531,16
965,E05003533,14
966,E05003534,8
967,E05003535,18
968,E05003536,9
969,E05003537,11
970,E05003538,22
971,E05003540,16
972,E05003541,14
973,E05003542,2
974,E05003543,6
975,E05003544,28
976,E05003545,2
977,E05003546,16
978,E05003547,11
979,E05003548,12
980,E05003549,10
981,E05003551,6
982,E05003552,9
983,E05003553,15
984,E05003554,14
985,E05003555,15
986,E05003556,14
987,E05003557,18
988,E05003558,8
989,E05003559,1
990,E05003591,46
991,E05003592,11
992,E05003593,34
993,E05003594,14
994,E05003595,11
995,E05003596,24
996,E05003597,18
997,E05003600,3
998,E05003601,15
999,E05003602,15
1000,E05003605,21
1001,E05003606,12
1002,E05003607,12
1003,E05003608,38
1004,E05003609,18
1005,E05003611,14
1006,E05003612,19
1007,E05003613,9
1008,E05003614,5
1009,E05003615,14
1010,E05003616,18
1011,E05003617,23
1012,E05003618,9
1013,E05003619,9
1014,E05003620,10
1015,E05003621,10
1016,E05003622,16
1017,E05003623,10
1018,E05003624,19
1019,E05003625,20
1020,E05003626,15
1021,E05003627,8
1022,E05003628,17
1023,E05003629,5
1024,E05003630,11
1025,E05003631,7
1026,E05003632,6
1027,E05003633,23
1028,E05003634,9
1029,E05003635,4
1030,E05003636,6
1031,E05003637,10
1032,E05003660,18
1033,E05003661,7
1034,E05003662,8
1035,E05003663,6
1036,E05003664,8
1037,E05003665,9
1038,E05003666,10
1039,E05003667,12
1040,E05003668,9
1041,E05003669,14
1042,E05003670,8
1043,E05003920,17
1044,E05003921,14
1045,E05003922,11
1046,E05003923,33
1047,E05003924,33
1048,E05003925,20
1049,E05003926,16
1050,E05003927,14
1051,E05003928,19
1052,E05003929,9
1053,E05003930,12
1054,E05003931,12
1055,E05003932,30
1056,E05003933,12
1057,E05003934,13
1058,E05003935,15
1059,E05003936,5
1060,E05003937,11
1061,E05003938,26
