,wd11cd,comparison_Number_of_charities
759,E05002242,9
760,E05002243,15
761,E05002244,5
762,E05002245,11
763,E05002246,10
764,E05002247,11
765,E05002248,14
766,E05002255,1
767,E05002272,21
768,E05002273,6
769,E05002274,9
770,E05002275,9
771,E05002276,12
772,E05002277,14
773,E05002278,3
774,E05002279,8
775,E05002280,10
776,E05002281,10
777,E05002282,16
778,E05002283,5
779,E05002284,8
780,E05002285,10
781,E05002286,10
782,E05002287,14
783,E05002288,10
784,E05002289,1
785,E05002291,11
786,E05002292,19
787,E05002293,3
788,E05002294,11
789,E05002295,13
790,E05002296,8
791,E05002297,15
792,E05002298,16
793,E05002299,24
794,E05002300,18
795,E05002301,6
796,E05002302,18
797,E05002303,39
798,E05002304,25
799,E05002306,9
800,E05002308,6
801,E05002309,26
802,E05002310,30
803,E05002312,14
804,E05002313,7
805,E05002314,14
806,E05002315,8
807,E05002317,17
808,E05002318,3
809,E05002320,14
810,E05002324,11
811,E05002326,2
812,E05002327,12
813,E05002331,16
814,E05002333,17
815,E05002353,1
816,E05002363,15
817,E05002364,9
818,E05002373,7
819,E05002375,11
820,E05002377,32
821,E05002378,19
822,E05002379,10
823,E05002380,15
824,E05002383,23
825,E05002386,17
826,E05002387,35
827,E05002393,20
828,E05002394,24
829,E05002395,17
830,E05002396,24
831,E05002398,27
832,E05002399,6
833,E05002400,16
834,E05002405,25
835,E05002406,21
836,E05002407,16
837,E05002409,11
838,E05002410,13
839,E05002411,28
840,E05002412,34
841,E05002413,32
842,E05002414,15
843,E05002415,26
844,E05002418,26
845,E05002428,14
846,E05002435,19
847,E05002455,25
848,E05002456,37
849,E05002457,40
850,E05002458,15
851,E05002459,22
852,E05002460,18
853,E05002461,21
854,E05002462,13
855,E05002463,13
856,E05002464,16
857,E05002465,25
858,E05002466,11
859,E05002467,35
860,E05002468,17
861,E05002469,17
862,E05002470,23
863,E05002594,44
864,E05002595,23
865,E05002596,32
866,E05002597,11
867,E05002598,20
868,E05002599,28
869,E05002600,15
870,E05002601,6
871,E05002602,10
872,E05002604,19
